குறள்,எண்,மாத்திரை,உயிர்க்குறில்,உயிர்நெடில்,ஆய்தம்,மெய்,உயிர்மெய்க்குறில்,உயிர்மெய்நெடில்,உயிரளபெடை,ஒற்றளபெடை,ஐகாரக்குறுக்கம்_முதல்,ஐகாரக்குறுக்கம்_இடைகடை,ஒளகாரக்குறுக்கம்,குற்றியலுகரம்,குற்றியலிகரம்,மகரக்குறுக்கம்,ஆய்தக்குறுக்கம்
"அன்பகத் தில்லா உயிர்வாழ்க்கை வன்பாற்கண்
வற்றல் மரந்தளிர்த் தற்று.",78,1 0.5 1 1 0.5    1 0.5 2    1 1 0.5 2 0.5 0.5 1    1 0.5 2 0.5 1 0.5    1 0.5 1 0.5    1 1 0.5 1 1 0.5 0.5    1 0.5 0.5    ,2,0,0,15,13,3,0,0,0,1,0,1,0,0,0
"புறத்துறுப் பெல்லாம் எவன்செய்யும் யாக்கை
அகத்துறுப்பு அன்பி லவர்க்கு.",79,1 1 0.5 1 1 0.5    1 0.5 2 0.5    1 1 0.5 1 0.5 1 0.5    2 0.5 1    1 1 0.5 1 1 0.5 0.5    1 0.5 1    1 1 0.5 0.5 0.5    ,3,0,0,13,14,2,0,0,0,1,0,2,0,0,0
"அன்பின் வழியது உயிர்நிலை அஃதிலார்க்கு
என்புதோல் போர்த்த உடம்பு.",80,1 0.5 1 0.5    1 1 1 0.5    1 1 0.5 1 1    1 0.5 1 2 0.5 0.5 0.5    1 0.5 1 2 0.5    2 0.5 0.5 1    1 1 0.5 0.5    ,5,0,1,10,10,3,0,0,0,1,0,3,0,0,0
"இருந்தோம்பி இல்வாழ்வ தெல்லாம் விருந்தோம்பி
வேளாண்மை செய்தற் பொருட்டு.",81,1 1 0.5 2 0.5 1    1 0.5 2 0.5 1    1 0.5 2 0.5    1 1 0.5 2 0.5 1    2 2 0.5 1    1 0.5 1 0.5    1 1 0.5 0.5    ,2,0,0,12,11,6,0,0,0,1,0,1,0,0,0
"விருந்து புறத்ததாத் தானுண்டல் சாவா
மருந்தெனினும் வேண் டற்பாற் றன்று.",82,1 1 0.5 0.5    1 1 0.5 1 2 0.5    2 1 0.5 1 0.5    2 2    1 1 0.5 1 1 1 0.5    2 0.5    1 0.5 2 0.5    1 0.5 0.5    ,0,0,0,11,14,6,0,0,0,0,0,2,0,0,0
"வருவிருந்து வைகலும் ஓம்புவான் வாழ்க்கை
பருவந்து பாழ்படுதல் இன்று.",83,1 1 1 1 0.5 0.5    2 1 1 0.5    2 0.5 1 2 0.5    2 0.5 0.5 1    1 1 1 0.5 0.5    2 0.5 1 1 1 0.5    1 0.5 0.5    ,1,1,0,10,13,4,0,0,0,1,0,3,0,0,0
"அகனமர்ந்து செய்யாள் உறையும் முகனமர்ந்து
நல்விருந்து ஓம்புவான் இல்.",84,1 1 1 1 0.5 0.5 0.5    1 0.5 2 0.5    1 1 1 0.5    1 1 1 1 0.5 0.5 0.5    1 0.5 1 1 0.5 0.5    2 0.5 1 2 0.5    1 0.5    ,3,1,0,12,13,2,0,0,0,1,0,3,0,0,0
"வித்தும் இடல்வேண்டும் கொல்லோ விருந்தோம்பி
மிச்சில் மிசைவான் புலம்.",85,1 0.5 1 0.5    1 1 0.5 2 0.5 1 0.5    1 0.5 2    1 1 0.5 2 0.5 1    1 0.5 1 0.5    1 1 2 0.5    1 1 0.5    ,1,0,0,12,13,4,0,0,0,1,0,0,0,0,0
"செல்விருந்து ஓம்பி வருவிருந்து பார்த்திருப்பான்
நல்வருந்து வானத் தவர்க்கு.",86,1 0.5 1 1 0.5 0.5    2 0.5 1    1 1 1 1 0.5 0.5    2 0.5 0.5 1 1 0.5 2 0.5    1 0.5 1 1 0.5 0.5    2 1 0.5    1 1 0.5 0.5 0.5    ,0,1,0,13,16,3,0,0,0,0,0,4,0,0,0
"இனைத்துணைத் தென்பதொன் றில்லை விருந்தின்
துணைத்துணை வேள்விப் பயன்.",87,1 1 0.5 1 1 0.5    1 0.5 1 1 0.5    1 0.5 1    1 1 0.5 1 0.5    1 1 0.5 1 1    2 0.5 1 0.5    1 1 0.5    ,1,0,0,11,13,1,0,0,0,5,0,0,0,0,0
"பரிந்தோம்பிப் பற்றற்றேம் என்பர் விருந்தோம்பி
வேள்வி தலைப்படா தார்.",88,1 1 0.5 2 0.5 1 0.5    1 0.5 1 0.5 2 0.5    1 0.5 1 0.5    1 1 0.5 2 0.5 1    2 0.5 1    1 1 0.5 1 2    2 0.5    ,1,0,0,13,12,6,0,0,0,1,0,0,0,0,0
"உடைமையுள் இன்மை விருந்தோம்பல் ஓம்பா
மடமை மடவார்கண் உண்டு.",89,1 1 1 1 0.5    1 0.5 1    1 1 0.5 2 0.5 1 0.5    2 0.5 2    1 1 1    1 1 2 0.5 1 0.5    1 0.5 0.5    ,3,1,0,9,9,3,0,0,0,4,0,1,0,0,0
"மோப்பக் குழையும் அனிச்சம் முகந்திரிந்து
நோக்கக் குநழ்யும் விருந்து.",90,2 0.5 1 0.5    1 1 1 0.5    1 1 0.5 1 0.5    1 1 0.5 1 1 0.5 0.5    2 0.5 1 0.5    1 1 0.5 1 0.5    1 1 0.5 0.5    ,1,0,0,12,15,2,0,0,0,1,0,2,0,0,0
"இன்சொலால் ஈரம் அளைஇப் படிறுஇலவாம்
செம்பொருள் கண்டார்வாய்ச் சொல்.",91,1 0.5 1 2 0.5    2 1 0.5    1 3 0.5    1 1 0.5    1 0.5 1 1 0.5    1 0.5 2 0.5 2 0.5 0.5    1 0.5    ,2,1,0,11,9,3,1,0,0,0,0,1,0,0,0
"அகன்அமர்ந்து ஈதலின் நன்றே முகனமர்ந்து
இன்சொலன் ஆகப் பெறின்.",92,1 1 1 1 0.5 0.5 0.5    2 1 1 0.5    1 0.5 2    1 1 1 1 0.5 0.5 0.5    1 0.5 1 1 0.5    2 1 0.5    1 1 0.5    ,2,2,0,10,15,1,0,0,0,0,0,2,0,0,0
"முகத்தான் அமர்ந் துஇனிது நோக்கி அகத்தானாம்
இன்சொ லினதே அறம்.",93,1 1 0.5 2 0.5    1 1 0.5 0.5    1    2 0.5 1    1 1 0.5 2 2 0.5    1 0.5 1    1 1 2    1 1 0.5    ,4,0,0,9,10,5,0,0,0,0,0,0,0,0,0
"துன்புறூஉம் துவ்வாமை இல்லாகும் யார்மாட்டும்
இன்புறூஉம் இன்சொ லவர்க்கு.",94,1 0.5 1 3 0.5    1 0.5 2 1    1 0.5 2 1 0.5    2 0.5 2 0.5 1 0.5    1 0.5 1 3 0.5    1 0.5 1    1 1 0.5 0.5 0.5    ,3,0,0,13,9,4,2,0,0,1,0,1,0,0,0
"பணிவுடையன் இன்சொலன் ஆதல் ஒருவற்கு
அணியல்ல மற்றுப் பிற.",95,1 1 1 1 1 0.5    1 0.5 1 1 0.5    2 1 0.5    1 1 1 0.5 0.5    1 1 1 0.5 1    1 0.5 1 0.5    1 1    ,3,1,0,8,16,0,0,0,0,1,0,1,0,0,0
"அல்லவை தேய அறம்பெருகும் நல்லவை
நாடி இனிய சொலின்.",96,1 0.5 1 1    2 1    1 1 0.5 1 1 1 0.5    1 0.5 1 1    2 1    1 1 1    1 1 0.5    ,3,0,0,5,13,2,0,0,0,2,0,0,0,0,0
"நயன் ஈன்று நன்றி பயக்கும் பயன்ஈன்று
பண்பின் தலைப்பிரியாச் சொல்.",97,1 1 0.5    2 0.5 0.5    1 0.5 1    1 1 0.5 1 0.5    1 1 2 0.5 0.5    1 0.5 1 0.5    1 1 0.5 1 1 2 0.5    1 0.5    ,0,1,0,11,15,2,0,0,0,1,0,2,0,0,0
"சிறுமையுவு நீங்கிய இன்சொல் மறுமையும்
இம்மையும் இன்பம் தரும்.",98,1 1 1 1 1    2 0.5 1 1    1 0.5 1 0.5    1 1 1 1 0.5    1 0.5 1 1 0.5    1 0.5 1 0.5    1 1 0.5    ,3,0,0,9,14,1,0,0,0,3,0,0,0,0,0
"இன்சொல் இனிதீன்றல் காண்பான் எவன்கொலோ
வன்சொல் வழங்கு வது?",99,1 0.5 1 0.5    1 1 2 0.5 1 0.5    2 0.5 2 0.5    1 1 0.5 1 2    1 0.5 1 0.5    1 1 0.5 0.5    1 1    ,3,0,0,10,11,4,0,0,0,0,0,1,0,0,0
"இனிய உளவாக இன்னாத கூறல்
கனிஇருப்பக் காய்கவர்ந் தற்று.",100,1 1 1    1 1 2 1    1 0.5 2 1    2 1 0.5    1 1    2 0.5 1 1 0.5 0.5    1 0.5 0.5    ,3,0,0,6,11,4,0,0,0,0,0,1,0,0,0
"செய்யாமல் செய்த உதவிக்கு வையகமும்
வானகமும் ஆற்றல் அரிது.",101,1 0.5 2 1 0.5    1 0.5 1    1 1 1 0.5 0.5    2 1 1 1 0.5    2 1 1 1 0.5    2 0.5 1 0.5    1 1 0.5    ,2,1,0,8,14,3,0,0,0,0,0,2,0,0,0
"காலத்தி னாற்செய்த நன்றி சிறிதெனினும்
ஞாலத்தின் மாணப் பெரிது.",102,2 1 0.5 1    2 0.5 1 0.5 1    1 0.5 1    1 1 1 1 1 0.5    2 1 0.5 1 0.5    2 1 0.5    1 1 0.5    ,0,0,0,8,16,4,0,0,0,0,0,1,0,0,0
"பயன்தூக்கார் செய்த உதவி நயன்தூக்கின்
நன்மை கடலின் பெரிது.",103,1 1 0.5 2 0.5 2 0.5    1 0.5 1    1 1 1    1 1 0.5 2 0.5 1 0.5    1 0.5 1    1 1 1 0.5    1 1 0.5    ,1,0,0,9,15,3,0,0,0,1,0,1,0,0,0
"தினைத்துணை நன்றி செயினும் பனைத்துணையாக்
கொள்வர் பயன்தெரி வார்.",104,1 1 0.5 1 1    1 0.5 1    1 1 1 0.5    1 1 0.5 1 1 2 0.5    1 0.5 1 0.5    1 1 0.5 1 1    2 0.5    ,0,0,0,9,15,2,0,0,0,4,0,0,0,0,0
"உதவி வரைத்தன்று உதவி உதவி
செயப்பட்டார் சால்பின் வரைத்து.",105,1 1 1    1 1 0.5 1 0.5 0.5    1 1 1    1 1 1    1 1 0.5 1 0.5 2 0.5    2 0.5 1 0.5    1 1 0.5 0.5    ,3,0,0,8,13,2,0,0,0,2,0,2,0,0,0
"மறவற்க மாசற்றார் கேண்மை துறவற்க
துன்பத்துள் துப்பாயார் நட்பு.",106,1 1 1 0.5 1    2 1 0.5 2 0.5    2 0.5 1    1 1 1 0.5 1    1 0.5 1 0.5 1 0.5    1 0.5 2 2 0.5    1 0.5 0.5    ,0,0,0,11,14,5,0,0,0,1,0,1,0,0,0
"எழுமை எழுபிறப்பும் உள்ளுவர் தங்கண்
விழுமந் துடைத்தவர் நட்பு.",107,1 1 1    1 1 1 1 0.5 1 0.5    1 0.5 1 1 0.5    1 0.5 1 0.5    1 1 1 0.5    1 1 0.5 1 1 0.5    1 0.5 0.5    ,3,0,0,10,16,0,0,0,0,2,0,1,0,0,0
"நன்றி மறப்பது நன்றன்று நன்றல்லது
அன்றே மறப்பது நன்று.",108,1 0.5 1    1 1 0.5 1 0.5    1 0.5 1 0.5 0.5    1 0.5 1 0.5 1 0.5    1 0.5 2    1 1 0.5 1 0.5    1 0.5 0.5    ,1,0,0,9,14,1,0,0,0,0,0,5,0,0,0
"கொன்றன்ன இன்னா செயினும் அவர்செய்த
ஒன்றுநன்று உள்ளக் கெடும்.",109,1 0.5 1 0.5 1    1 0.5 2    1 1 1 0.5    1 1 0.5 1 0.5 1    1 0.5 1 1 0.5 0.5    1 0.5 1 0.5    1 1 0.5    ,4,0,0,11,14,1,0,0,0,0,0,1,0,0,0
"எந்நன்றி கொன்றார்க்கும் உய்வுண்டாம் உய்வில்லை
செய்ந்நன்றி கொன்ற மகற்கு.",110,1 0.5 1 0.5 1    1 0.5 2 0.5 0.5 1 0.5    1 0.5 1 0.5 2 0.5    1 0.5 1 0.5 1    1 1 1 0.5 1    1 0.5 1    1 1 0.5 0.5    ,3,0,0,14,13,2,0,1,0,1,0,1,0,0,0
"தகுதி எனவொன்று நன்றே பகுதியால்
பாற்பட்டு ஒழுகப் பெறின்.",111,1 1 1    1 1 1 0.5 0.5    1 0.5 2    1 1 0.5* 2 0.5    2 0.5 1 0.5 0.5    1 1 1 0.5    1 1 0.5    ,2,0,0,7,13,3,0,0,0,0,0,2,1,0,0
"செப்பம் உடையவன் ஆக்கஞ் சிதைவின்றி
எச்சத்திற் கேமாப்பு உடைத்து.",112,1 0.5 1 0.5    1 1 1 1 0.5    2 0.5 1 0.5    1 1 1 0.5 1    1 0.5 1 0.5 1 0.5    2 2 0.5 0.5    1 1 0.5 0.5    ,3,1,0,11,10,2,0,0,0,3,0,2,0,0,0
"நன்றே தரினும் நடுவிகந்தாம் ஆக்கத்தை
அன்றே யொழிய விடல்.",113,1 0.5 2    1 1 1 0.5    1 1 1 1 0.5 2 0.5    2 0.5 1 0.5 1    1 0.5 2    1 1 1    1 1 0.5    ,1,1,0,8,14,3,0,0,0,1,0,0,0,0,0
"தக்கார் தகவிலர் என்பது அவரவர்
எச்சத்தாற் காணப்ப படும்.",114,1 0.5 2 0.5    1 1 1 1 0.5    1 0.5 1 0.5    1 1 1 1 0.5    1 0.5 1 0.5 2 0.5    2 1 0.5 1    1 1 0.5    ,3,0,0,10,14,3,0,0,0,0,0,1,0,0,0
"கேடும் பெருக்கமும் இல்லல்ல நெஞ்சத்துக்
கோடாமை சான்றோர்க் கணி.",115,2 1 0.5    1 1 0.5 1 1 0.5    1 0.5 1 0.5 1    1 0.5 1 0.5 1 0.5    2 2 1    2 0.5 2 0.5 0.5    1 1    ,1,0,0,11,12,5,0,0,0,1,0,0,0,0,0
"கெடுவல்யான் என்பது அறிகதன் நெஞ்சம்
நடுவொரீஇ அல்ல செயின்.",116,1 1 1 0.5 2 0.5    1 0.5 1 0.5    1 1 1 1 0.5    1 0.5 1 0.5    1 1 1 3    1 0.5 1    1 1 0.5    ,3,0,0,8,15,1,1,0,0,0,0,1,0,0,0
"கெடுவாக வையாது உலகம் நடுவாக
நன்றிக்கண் தங்கியான் தாழ்வு.",117,1 1 2 1    2 2 0.5    1 1 1 0.5    1 1 2 1    1 0.5 1 0.5 1 0.5    1 0.5 0.5* 2 0.5    2 0.5 1    ,1,0,0,7,13,6,0,0,0,0,0,1,1,0,0
"சமன்செய்து சீர்தூக்குங் கோல்போல் அமைந்தொருபால்
கோடாமை சான்றோர்க் கணி.",118,1 1 0.5 1 0.5 0.5    2 0.5 2 0.5 1 0.5    2 0.5 2 0.5    1 1 0.5 1 1 2 0.5    2 2 1    2 0.5 2 0.5 0.5    1 1    ,1,0,0,12,8,9,0,0,0,2,0,1,0,0,0
"சொற்கோட்டம் இல்லது செப்பம் ஒருதலையா
உட்கோட்டம் இன்மை பெறின்.",119,1 0.5 2 0.5 1 0.5    1 0.5 1 0.5    1 0.5 1 0.5    1 1 1 1 2    1 0.5 2 0.5 1 0.5    1 0.5 1    1 1 0.5    ,4,0,0,11,10,3,0,0,0,2,0,1,0,0,0
"வாணிகம் செய்வார்க்கு வாணிகம் பேணிப்
பிறவும் தமபோல் செயின்.",120,2 1 1 0.5    1 0.5 2 0.5 0.5 0.5    2 1 1 0.5    2 1 0.5    1 1 1 0.5    1 1 2 0.5    1 1 0.5    ,0,0,0,9,13,5,0,0,0,0,0,1,0,0,0
"அடக்கம் அமரருள் உய்க்கும் அடங்காமை
ஆரிருள் உய்த்து விடும்.",121,1 1 0.5 1 0.5    1 1 1 1 0.5    1 0.5 0.5 1 0.5    1 1 0.5 2 1    2 1 1 0.5    1 0.5 0.5 0.5    1 1 0.5    ,5,1,0,11,11,1,0,0,0,1,0,1,0,0,0
"காக்க பொருளா அடக்கத்தை ஆக்கம்
அதனினூஉங் கில்லை உயிர்க்கு.",122,2 0.5 1    1 1 2    1 1 0.5 1 0.5 1    2 0.5 1 0.5    1 1 1 3 0.5    1 0.5 1    1 1 0.5 0.5 0.5    ,3,1,0,9,10,2,1,0,0,2,0,1,0,0,0
"செறிவறிந்து சீர்மை பயக்கும் அறிவறிந்து
ஆற்றின் அடங்கப் பெறின்.",123,1 1 1 1 0.5 0.5    2 0.5 1    1 1 0.5 1 0.5    1 1 1 1 0.5 0.5    2 0.5 1 0.5    1 1 0.5 1 0.5    1 1 0.5    ,2,1,0,10,15,1,0,0,0,1,0,2,0,0,0
"நிலையின் திரியாது அடங்கியான் தோற்றம்
மலையினும் மாணப் பெரிது.",124,1 1 1 0.5    1 1 2 0.5    1 1 0.5 0.5* 2 0.5    2 0.5 1 0.5    1 1 1 1 0.5    2 1 0.5    1 1 0.5    ,1,0,0,7,12,4,0,0,0,2,0,2,1,0,0
"எல்லார்க்கும் நன்றாம் பணிதல் அவருள்ளும்
செல்வர்க்கே செல்வம் தகைத்து.",125,1 0.5 2 0.5 0.5 1 0.5    1 0.5 2 0.5    1 1 1 0.5    1 1 1 0.5 1 0.5    1 0.5 1 0.5 0.5 2    1 0.5 1 0.5    1 1 0.5 0.5    ,2,0,0,15,13,3,0,0,0,1,0,1,0,0,0
"ஒருநம்யுள் ஆமைபோல் ஐந்தடக்கல் ஆற்றின்
எழுநம்யும் ஏமாப் புடைத்து.",126,1 1 1 0.5 1 0.5    2 1 2 0.5    1.5 0.5 1 1 0.5 1 0.5    2 0.5 1 0.5    1 1 1 0.5 1 0.5    2 2 0.5    1 1 0.5 0.5    ,2,3,0,12,11,2,0,0,1,2,0,1,0,0,0
"யாகாவா ராயினும் நாகாக்க காவாக்கால்
சோகாப்பர் சொல்லிழுக்குப் பட்டு.",127,2 2 2    2 1 1 0.5    2 2 0.5 1    2 2 0.5 2 0.5    2 2 0.5 1 0.5    1 0.5 1 1 0.5 1 0.5    1 0.5 0.5    ,0,0,0,10,9,11,0,0,0,0,0,1,0,0,0
"ஒன்றானுந் தீச்சொல் பொருட்பயன் உண்டாயின்
நன்றாகா தாகி விடும்.",128,1 0.5 2 1 0.5    2 0.5 1 0.5    1 1 0.5 1 1 0.5    1 0.5 2 1 0.5    1 0.5 2 2    2 1    1 1 0.5    ,2,0,0,10,11,6,0,0,0,0,0,0,0,0,0
"தீயினாற் சுட்டபுண் உள்ளாறும் ஆறாதே
நாவினாற் சுட்ட வடு.",129,2 1 2 0.5    1 0.5 1 1 0.5    1 0.5 2 1 0.5    2 2 2    2 1 2 0.5    1 0.5 1    1 1    ,1,1,0,7,10,7,0,0,0,0,0,0,0,0,0
"கதங்காத்துக் கற்றடங்கல் ஆற்றுவான் செவ்வி
அறம்பார்க்கும் ஆற்றின் நுழைந்து.",130,1 1 0.5 2 0.5 1 0.5    1 0.5 1 1 0.5 1 0.5    2 0.5 1 2 0.5    1 0.5 1    1 1 0.5 2 0.5 0.5 1 0.5    2 0.5 1 0.5    1 1 0.5 0.5    ,1,2,0,16,14,3,0,0,0,1,0,1,0,0,0
"ஒழுக்கம் விழுப்பந் தரலான் ஒழுக்கம்
உயிரினும் ஓம்பப் படும்.",131,1 1 0.5 1 0.5    1 1 0.5 1 0.5    1 1 2 0.5    1 1 0.5 1 0.5    1 1 1 1 0.5    2 0.5 1 0.5    1 1 0.5    ,3,1,0,11,15,1,0,0,0,0,0,0,0,0,0
"பரிந்தோம்பிக் காக்க ஒழுக்கம் தெரிந்தோம்பித்
தேரினும் அஃதே துணை.",132,1 1 0.5 2 0.5 1 0.5    2 0.5 1    1 1 0.5 1 0.5    1 1 0.5 2 0.5 1 0.5    2 1 1 0.5    1 0.5 2    1 1    ,2,0,1,10,12,5,0,0,0,1,0,0,0,0,0
"ஒழுக்கம் உடைமை குடிமை இழுக்கம்
இழிந்த பிறப்பாய் விடும்.",133,1 1 0.5 1 0.5    1 1 1    1 1 1    1 1 0.5 1 0.5    1 1 0.5 1    1 1 0.5 2 0.5    1 1 0.5    ,4,0,0,8,12,1,0,0,0,3,0,0,0,0,0
"மறப்பினும் ஓத்துக் கொளலாகும் பார் ப்பான்
பிறப்பொழுக்கங் குன்றக் கெடும்.",134,1 1 0.5 1 1 0.5    2 0.5 1 0.5    1 1 2 1 0.5    2 0.5    0.5 2 0.5    1 1 0.5 1 1 0.5 1 0.5    1 0.5 1 0.5    1 1 0.5    ,0,1,0,14,17,3,0,0,0,0,0,0,0,0,0
"அழுக்கா றுடையான்கண் ஆக்கம்போன்று இல்லை
ஒழுக்க மிலான்கண் உயர்வு.",135,1 1 0.5 2    1 1 2 0.5 1 0.5    2 0.5 1 0.5 2 0.5 0.5    1 0.5 1    1 1 0.5 1    1 2 0.5 1 0.5    1 1 0.5 1    ,4,1,0,11,10,4,0,0,0,2,0,1,0,0,0
"ஒழுக்கத்தின் ஒல்கார் உரவோர் இழுக்கத்தின்
ஏதம் படுபாக் கறிந்து.",136,1 1 0.5 1 0.5 1 0.5    1 0.5 2 0.5    1 1 2 0.5    1 1 0.5 1 0.5 1 0.5    2 1 0.5    1 1 2 0.5    1 1 0.5 0.5    ,4,1,0,12,12,3,0,0,0,0,0,1,0,0,0
"ஒழுக்கத்தின் எய்துவர் மேன்மை இழுக்கத்தின்
எய்துவர் எய்தாப் பழி.",137,1 1 0.5 1 0.5 1 0.5    1 0.5 1 1 0.5    2 0.5 1    1 1 0.5 1 0.5 1 0.5    1 0.5 1 1 0.5    1 0.5 2 0.5    1 1    ,5,0,0,13,12,2,0,0,0,1,0,0,0,0,0
"நன்றிக்கு வித்தாகும் நல்லொழுக்கம் தீயொழுக்கம்
என்றும் இடும்பை தரும்.",138,1 0.5 1 0.5 0.5    1 0.5 2 1 0.5    1 0.5 1 1 0.5 1 0.5    2 1 1 0.5 1 0.5    1 0.5 1 0.5    1 1 0.5 1    1 1 0.5    ,2,0,0,13,15,2,0,0,0,1,0,1,0,0,0
"ஒழுக்க முடையவர்க்கு ஒல்லாவே தீய
வழுக்கியும் வாயாற் சொலல்.",139,1 1 0.5 1    1 1 1 1 0.5 0.5 0.5    1 0.5 2 2    2 1    1 1 0.5 0.5* 1 0.5    2 2 0.5    1 1 0.5    ,2,0,0,8,11,5,0,0,0,1,0,1,1,0,0
"உலகத்தோடு ஒட்ட ஒழுகல் பலகற்றும்
கல்லார் அறிவிலா தார்.",140,1 1 1 0.5 2 0.5    1 0.5 1    1 1 1 0.5    1 1 1 0.5 1 0.5    1 0.5 2 0.5    1 1 1 2    2 0.5    ,4,0,0,8,12,4,0,0,0,0,0,1,0,0,0
"பிறன்பொருளாள் பெட்டொழுகும் பேதைமை ஞாலத்து
அறம்பொருள் கண்டார்கண் இல்.",141,1 1 0.5 1 1 2 0.5    1 0.5 1 1 1 0.5    2 1 1    2 1 0.5 0.5    1 1 0.5 1 1 0.5    1 0.5 2 0.5 1 0.5    1 0.5    ,2,0,0,11,14,4,0,0,0,2,0,1,0,0,0
"அறன்கடை நின்றாருள் எல்லாம் பிறன்கடை
நின்றாரின் பேதையார் இல்.",142,1 1 0.5 1 1    1 0.5 2 1 0.5    1 0.5 2 0.5    1 1 0.5 1 1    1 0.5 2 1 0.5    2 1 2 0.5    1 0.5    ,3,0,0,10,9,5,0,0,0,3,0,0,0,0,0
"விளிந்தாரின் வேறல்லர் மன்ற தெளிந்தாரில்
தீமை புரிந்து ஒழுகு வார்.",143,1 1 0.5 2 1 0.5    2 1 0.5 1 0.5    1 0.5 1    1 1 0.5 2 1 0.5    2 1    1 1 0.5 0.5    1 1 0.5    2 0.5    ,1,0,0,9,13,5,0,0,0,1,0,2,0,0,0
"எனைத்துணையர் ஆயினும் என்னாம் தினைத்துணையும்
தேரான் பிறனில் புகல்.",144,1 1 0.5 1 1 1 0.5    2 1 1 0.5    1 0.5 2 0.5    1 1 0.5 1 1 1 0.5    2 2 0.5    1 1 1 0.5    1 1 0.5    ,2,1,0,10,12,3,0,0,0,4,0,0,0,0,0
"எளிதென இல்லிறப்பான் எய்துமெஞ் ஞான்றும்
விளியாது நிற்கும் பழி.",145,1 1 1 1    1 0.5 1 1 0.5 2 0.5    1 0.5 1 1 0.5    2 0.5 1 0.5    1 1 2 0.5    1 0.5 1 0.5    1 1    ,3,0,0,9,14,3,0,0,0,0,0,1,0,0,0
"பகைபாவம் அச்சம் பழியென நான்கும்
இகவாவாம் இல்லிறப்பான் கண்.",146,1 1 2 1 0.5    1 0.5 1 0.5    1 1 1 1    2 0.5 1 0.5    1 1 2 2 0.5    1 0.5 1 1 0.5 2 0.5    1 0.5    ,3,0,0,10,12,5,0,0,0,1,0,0,0,0,0
"அறனியலான் இல்வாழ்வான் என்பான் பிறனியலாள்
பெண்மை நயவா தவன்.",147,1 1 1 1 2 0.5    1 0.5 2 0.5 2 0.5    1 0.5 2 0.5    1 1 1 1 2 0.5    1 0.5 1    1 1 2    1 1 0.5    ,3,0,0,9,12,6,0,0,0,1,0,0,0,0,0
"பிறன்மனை நோக்காத பேராண்மை சான்றோர்க்கு
அறனொன்றோ ஆன்ற வொழுக்கு.",148,1 1 0.5 1 1    2 0.5 2 1    2 2 0.5 1    2 0.5 2 0.5 0.5 0.5    1 1 1 0.5 2    2 0.5 1    1 1 0.5 0.5    ,1,1,0,9,9,7,0,0,0,2,0,2,0,0,0
"நலக்குரியார் யாரெனின் நாமநீர் வைப்பின்
பிறர்க்குரியாள் தோள்தோயா தார்.",149,1 1 0.5 1 1 2 0.5    2 1 1 0.5    2 1 2 0.5    2 0.5 1 0.5    1 1 0.5 0.5 1 1 2 0.5    2 0.5 2 2    2 0.5    ,0,0,0,11,12,10,0,0,0,0,0,0,0,0,0
"அறன்வரையான் அல்ல செயினும் பிறன்வரையாள்
பெண்மை நயவாமை நன்று.",150,1 1 0.5 1 1 2 0.5    1 0.5 1    1 1 1 0.5    1 1 0.5 1 1 2 0.5    1 0.5 1    1 1 2 1    1 0.5 0.5    ,2,0,0,8,13,3,0,0,0,4,0,1,0,0,0
"அகழ்வாரைத் தாங்கும் நிலம்போலத் தம்மை
இகழ்வார்ப் பொறுத்தல் தலை.",151,1 1 0.5 2 1 0.5    2 0.5 1 0.5    1 1 0.5 2 1 0.5    1 0.5 1    1 1 0.5 2 0.5 0.5    1 1 0.5 1 0.5    1 1    ,2,0,0,12,11,4,0,0,0,3,0,0,0,0,0
"பொறுத்தல் இறப்பினை என்றும் அதனை
மறத்தல் அதனினும் நன்று.",152,1 1 0.5 1 0.5    1 1 0.5 1 1    1 0.5 1 0.5    1 1 1    1 1 0.5 1 0.5    1 1 1 1 0.5    1 0.5 0.5    ,4,0,0,9,14,0,0,0,0,2,0,1,0,0,0
"இன்நம்யுள் இன்மை விருந்தொரால் வன்மையுள்
வன்மை மடவார்ப் பொறை.",153,1 0.5 1 0.5 1 0.5    1 0.5 1    1 1 0.5 1 2 0.5    1 0.5 1 1 0.5    1 0.5 1    1 1 2 0.5 0.5    1 1    ,2,0,0,11,11,2,0,0,0,4,0,0,0,0,0
"நிறையுடைமை நீங்காமை வேண்டின் பொநற்யுடைமை
போற்றி யொழுகப் படும்.",154,1 1 1 1 1    2 0.5 2 1    2 0.5 1 0.5    1 1 0.5 1 1 1    2 0.5 1    1 1 1 0.5    1 1 0.5    ,0,0,0,7,12,4,0,0,0,6,0,0,0,0,0
"ஒறுத்தாரை ஒன்றாக வையாரே வைப்பர்
பொறுத்தாரைப் பொன்போற் பொதிந்து.",155,1 1 0.5 2 1    1 0.5 2 1    2 2 2    2 0.5 1 0.5    1 1 0.5 2 1 0.5    1 0.5 2 0.5    1 1 0.5 0.5    ,2,0,0,9,8,8,0,0,0,2,0,1,0,0,0
"ஒறுத்தார்க்கு ஒருநாளை இன்பம் பொறுத்தார்க்குப்
பொன்றுந் துணையும் புகழ்.",156,1 1 0.5 2 0.5 0.5 0.5    1 1 2 1    1 0.5 1 0.5    1 1 0.5 2 0.5 0.5 1 0.5    1 0.5 1 0.5    1 1 1 0.5    1 1 0.5    ,3,0,0,13,12,3,0,0,0,2,0,1,0,0,0
